id,date,store_id,product_id,product_name,gmv,unit_sold,commission,roi
354,2026-03-01,FR02OS001,41578225087,freemir Tiga Lapis 316 Motif Sarang Lebah Anti Lengket Luar Dalam Panci stainless steel dengan Tutup Kaca 24cm Steamer,484950.0,1,9699.0,50.0
355,2026-03-01,FR02OS001,28855333590,Special freemir Sauce Pan Beige Series 20cm Induksi Bottom Wajan Anti Lengket Serbaguna Foodgrade,483672.0,4,35347.97,13.683162003362568
356,2026-03-01,FR02OS001,25829107483,Special freemir Wajan Panci Penggorengan Beige Granite Premium Anti lengket Serbaguna Bertutup Kaca,475672.0,3,12996.48,36.60006401733393
357,2026-03-01,FR02OS001,23187302310,[OFFICIAL] freemir Wajan Panci 20 Cm Tutup Kaca Wajan Anti Lengket Hitam/Beige Lapisan Granit,466452.0,3,15454.88,30.18153489383289
358,2026-03-01,FR02OS001,25319734589,Special freemir Wajan Panci Granite Beige Series 20cm Anti Lengket Foodgrade Serbaguna,465347.0,3,21934.14,21.21564829986496
359,2026-03-01,FR02OS001,29264953615,Special Buy 1 get 1 freemir Wajan Teflon Sakura White Series 20/18cm Mpasi Approve Anti Lengket,455994.0,2,45599.4,10.0
360,2026-03-01,FR02OS001,41668700034,[OFFICIAL]NEW freemir Set api-wajan penggorengan 20cm sus304 Panci anti lengket mudah dibersihkan Pegangan anti-panas Panci dan wajan dapur,437238.0,3,8655.54,50.51539245385036
361,2026-03-01,FR02OS001,17282421263,[OFFICIAL] freemir Panci Gemoy Kuping Stainless Steel 304 Food Grade Sehat Dua Gagang Pegangan,436050.0,2,17442.0,25.0
362,2026-03-01,FR02OS001,23773222742,[OFFICIAL] freemir Wajan Penggorengan 20 cm Beige Anti Lengket GARANSI 100% KERUSAKAN,430931.0,4,19020.22,22.656467695957247
363,2026-03-01,FR02OS001,56601401053,"Special freemir Wajan & Panci Stainless Steel 304 Putih – Multi Fungsi untuk Kukus, Rebus, Sup & MPASI Bayi",400745.0,1,8014.9,50.0
364,2026-03-01,FR02OS001,29504387902,freemir Air Fryer Knob 4L Oven Penggoreng Makanan 600W Hemat Daya Serbaguna,385827.0,1,7716.54,50.0
365,2026-03-01,FR02OS001,11236077843,OFFICIAL Ramadan freemir Panci Kukus 3 Susun Stainless 304 - Steamer SNI Medical Grade - Masak Nasi Matang 20 Menit Cocok untuk Sahur,379360.0,2,21814.4,17.39034766026111
366,2026-03-01,FR02OS001,29763924585,Special freemir Wajan Jumbo Micro Preassure 32cm Die Cast Germany Technology Double Bottom,363510.0,1,7270.2,50.0
367,2026-03-01,FR02OS001,41050731133,freemir Panci Susu 1.2L Mini Milk Pot Gemoy Kopi Susu Granit Panci Anti Lengket Rebus Mie Serbaguna,346600.0,3,13864.0,25.0
368,2026-03-01,FR02OS001,53900589239,[Official]freemir pelat konduksi panas hitam anti-bakar Pelat konduksi panas rumah tangga kompor gas untuk mencegah bagian bawah panci terbakar hitam,307992.0,4,7726.24,39.86311582347947
369,2026-03-01,FR02OS001,24822051404,[FLASH SALE] freemir Wajan Panci 20 Cm Tutup Kaca Wajan Anti Lengket Hitam/Beige Lapisan Granit,307104.0,2,6142.08,50.0
370,2026-03-01,FR02OS001,27292407232,"Special freemir Panci susu mini Kelas makanan baja tahan karat 304 Mudah dibersihkan wajan anti lengket Masak mie, kopi, dan susu Satu pot untuk berbagai kegunaan Panci dan wajan dapur",305814.0,4,7635.7,40.05055201225821
371,2026-03-01,FR02OS001,41318710433,freemir Set Api-16cm304 Penggorengan Dalam dengan Tutup,298684.0,2,9272.08,32.213268220291454
372,2026-03-01,FR02OS001,25577440975,Special freemir Pisau Set Beige isi 5 pcs Stainless Steel Anti Karat dan Korosi Multifungsi,293818.0,4,8828.38,33.28107761559879
373,2026-03-01,FR02OS001,42917289151,"[OFFICIAL] freemir Panci Gemoy 24cm SUS 304 Aman untuk makanan Kompor induksi tersedia Cocok untuk merebus, mengukus, menumis hingga menggoreng",288516.0,1,11540.64,25.0
374,2026-03-01,FR02OS001,42520538580,Offical freemir Panci   304 stainless steel Putih dengan uapSatu pot 24cm untuk berbagai kegunaan Kukusan Panci dan wajan dapur,288516.0,2,11540.64,25.0
375,2026-03-01,FR02OS001,25687393931,[FLASH SALE] freemir Wajan Panci Set Anti Lengket Warna Putih Wajan 20 cm Panci 18 cm Wajan Gagang Kayu Anti Panas,269000.0,1,5380.0,50.0
376,2026-03-01,FR02OS001,22630532708,freemir Grill Pan FREE Capitan Anti Lengket 30 cm Korean Wajan Pemanggang Serbaguna Bulat Panggangan Luar BBQ,256783.0,2,7703.5,33.3332900629584
377,2026-03-01,FR02OS001,24519923366,Special Buy 1 Get 1 freemir Wajan Teflon Beige Granite Series 20cm Granite Anti Lengket Serbaguna,256073.0,1,10242.92,25.0
378,2026-03-01,FR02OS001,22210342505,[OFFICIAL] freemir Deep Fryer Panci 4 in 1 Wajan Stainless Steel Penggorengan Anti Karat Serbaguna,253900.0,2,7130.56,35.60730153031459
