export_item_id_dashboard_down_item,export_item_name_dashboard_down_item,export_price_dashboard_down_item(Rp),export_sales_dashboard_down_item(Rp),export_item_sold_dashboard_down_item,export_orders_dashboard_down_item,export_clicks_dashboard_down_item,export_est_commission_dashboard_down_item(Rp),export_roi_dashboard_down_item,export_total_buyers_dashboard_down_item,export_new_buyers_dashboard_down_item
11236077843,OFFICIAL Ramadan freemir Panci Kukus 3 Susun Stainless 304 - Steamer SNI Medical Grade - Masak Nasi Matang 20 Menit Cocok untuk Sahur,184000,426474,2,2,219,27376.16,15.6,2,1
42310713216,Special freemir Wokpan Cekung 20/24cm Wajan Anti Lengket Corong Anti Tumpah  Foodgrade Masak Serbaguna,151000,407454,4,4,399,31754.16,12.8,4,2
56601401053,"Special freemir Wajan & Panci Stainless Steel 304 Putih – Multi Fungsi untuk Kukus, Rebus, Sup & MPASI Bayi",504000,389718,1,1,8,15588.72,25.0,1,1
27980880197,[OFFICIAL] freemir Upgraded Panci Kukus 26cm Stainless Steel dengan Double Bottom (Dasar Ganda) untuk Pemanasan Merata dan Tutup Kaca 2 Tingkat - 100% GARANSI KERUSAKAN,234000,389483,2,2,6,4039.56,96.4,2,0
27100501050,[OFFICIAL MALL] freemir Wajan Panci 24CM Wajan Anti lengket Wajan Panci Hitam Wajan Serbaguna,234000,383420,2,2,12,11442.42,33.5,2,2
23773222742,[OFFICIAL] freemir Wajan Penggorengan 20 cm Beige Anti Lengket GARANSI 100% KERUSAKAN,124000,368100,4,4,38,28927.44,12.7,4,4
9715613311,[OFFICIAL BEST SELLER] freemir Panci Stainless Steel 2/3 Susun Dan Tutup Panci Kukus  Panci Steamer Kapasitas Besar 33CM SNI GARANSI,234000,366588,2,2,94,21826.96,16.8,2,0
24420211458,Special freemir Wajan Panci Granite Black Series 24cm Kedalaman 10cm Masak Anti Lengket Serbaguna,244000,366417,2,2,20,20810.34,17.6,2,2
16993398901,Special freemir 26cm Kapasitas besar multi-lapis Panci Kukus / Matang dalam 20 Menit Penanak / Kukusan panci,120000,346708,1,1,467,13868.32,25.0,1,1
22630532708,freemir Grill Pan FREE Capitan Anti Lengket 30 cm Korean Wajan Pemanggang Serbaguna Bulat Panggangan Luar BBQ,180900,345665,3,3,52,25843.94,13.4,3,2
24470409617,freemir Wajan Panci Beige 20cm dengan Tutup Kaca Kedalaman 8 cm Anti Lengket Gagang Kayu Sintetis,144000,342378,2,2,9,19499.4,17.6,2,2
28813737551,Special freemir Tatakan Kukusan Stainless Steel 16/20/24cm Multifungsi Anti Karat Korosi Foodgrade,25900,337430,8,8,62,8157.8,41.4,8,3
41816820115,"[OFFICIAL] freemir Frypan wajan penggorengan anti lengket 20cm wajan anti lengket Wajan Stainless Steel serbaguna kapasitas besar 2,8L",204000,329544,2,2,440,13181.76,25.0,2,1
44418689804,NEW special freemir Set api-wajan penggorengan 20cm sus304 Panci anti lengket mudah dibersihkan Pegangan anti-panas Panci dan wajan dapur,174000,328342,3,3,10,11072.88,29.7,3,2
40320531794,Ramadan Official freemir Panci Presto 10L Jumbo Anti Lengket Panci Masak Rendang Opor Ketupat Lebaran Deep Soup Pot 30cm,474000,302940,1,1,0,6058.8,50.0,1,0
41913945824,freemir Stainless Steel SUS 316 MEDICAL GRADE Wajan 3-Lapis 20cm Anti Lengket panci stainless steel wajan stainless,404000,299704,1,1,7,0,--,1,1
26905794195,[FLASH SALE] freemir Panci Kukus 2 Susun 24 cm Panci Stainless Steel 304 Panci Anti Karat Serbaguna,184000,288190,2,2,2,5763.8,50.0,2,2
26708032227,Special freemir Wajan Panci Kukus Jumbo Presto 24cm Granite Anti Lengket 5.5L Serbaguna Cepat Panas,295000,280480,1,1,42,22438.4,12.5,1,1
24446754373,"Special freemir Wajan Panci Aladin Granite Anti Lengket 20cm Wajan serbaguna kapasitas besar 2,8L Lebih Sehat Ringan Praktis Multifungsi Kitchenware",50000,257638,2,2,97,7795.92,33.0,2,2
26708229470,[OFFICIAL] freemir Wajan Panci Jumbo 30 CM Double Bottom dan Tutup Kaca Anti Lengket Granit,314900,250895,1,1,3,5017.9,50.0,1,0
43920747163,"Offical freemir Panci Kukus Stainless 26cm Kapasitas besar 2 lapis, cocok untuk mengukus nasi dan ikan sebagai makanan pendamping ASI anak",294000,247289,1,1,210,9891.56,25.0,1,0
25414826482,Special freemir Panci Sup Black Series 18 cm Panci Susu Rebus MPASI bebas BPA PFOA,84900,244182,4,4,29,22024.2,11.1,4,3
21085076438,Special freemir Panci Sup Sakura Series 16 cm Panci Susu Rebus MPASI bebas BPA PFOA,84000,235371,2,2,48,5935.16,39.7,2,1
27232706669,Special freemir Panci Susu Stainless 304 Food Grade Anti Karat dengan Tutup Silikon Kedap Udara panci mie rebus,184000,232613,2,2,166,11678.14,19.9,2,0
16246249540,Special freemir Panci Sup Stainless steel 304 Double Bottom 26cm Goreng Rebus Premium 0-Coating,324000,228307,1,1,50,22830.7,10.0,1,1
22210342505,[OFFICIAL] freemir Deep Fryer Panci 4 in 1 Wajan Stainless Steel Penggorengan Anti Karat Serbaguna,154000,228284,2,2,84,13606.24,16.8,2,1
53900589239,[Official]freemir pelat konduksi panas hitam anti-bakar Pelat konduksi panas rumah tangga kompor gas untuk mencegah bagian bawah panci terbakar hitam,89000,227976,3,3,12,22797.6,10.0,3,1
15812952905,[OFFICIAL ] freemir Wajan Penggorengan 24cm Warna Krem Beige Anti Lengket dengan gagang serat kayu,84900,221036,2,2,48,22103.6,10.0,2,2
51500243299,"Official freemir Panci Kukus Stainless 316 Premium dengan Tutup Kaca & Pegangan Kayu – Steamer MPASI, Panci Susu & Mie Rebus Serbaguna",294000,217222,1,1,2,4344.44,50.0,1,0
29784863612,[OFFICIAL] Panci Susu Renda Bunga Putih Foodgrade MPASI GARANSI MPASI panci,190900,214042,1,1,14,4280.84,50.0,1,1
41668700034,[OFFICIAL]NEW freemir Set api-wajan penggorengan 20cm sus304 Panci anti lengket mudah dibersihkan Pegangan anti-panas Panci dan wajan dapur,174000,212242,2,2,12,8489.68,25.0,2,2
42851687901,[OFFICIAL] Baru 20cm frying pan 304 stainless steel Garansi,154000,211968,2,2,13,16957.44,12.5,2,0
16696108972,Special Buy 1 get 1 freemir Wajan Teflon Sakura Series 20/18cm Mpasi Approve Anti Lengket Serhaguna,274000,207977,1,1,36,4159.54,50.0,1,1
25687393931,[FLASH SALE] freemir Wajan Panci Set Anti Lengket Warna Putih Wajan 20 cm Panci 18 cm Wajan Gagang Kayu Anti Panas,274000,197026,1,1,1,3940.52,50.0,1,1
44313788529,[OFFICIAL] freemir Frying Pan Anti lengket Pan 16cm Bahan Paduan Aluminium Merah Muda,84000,189694,3,3,14,5093.84,37.2,3,3
22077990946,[BEST SELLER] freemir Wajan Panci 24 CM Memperdalam Wajan Anti Lengket Wajan +Kukusan Serbaguna Granite,244000,188863,1,1,30,18886.3,10.0,1,1
26456759710,Special freemir Wajan Presto Granite Beige Series 24cm Panci Anti Lengket Bisa Kompor Apapun,230000,182160,1,1,14,3643.2,50.0,1,1
4230022492,Special freemir Hadiah Untuk Ibu Spesial Ramadhan - Toples Kaca Set 4 in 1 Hampers Lebaran Cantik,124000,171111,2,2,257,4939.48,34.6,2,1
42568694808,Exclusive New Launch  freemir Set api - Panci susu 16cm304 dengan tutup pembuat kopi Pot makanan tambahan Panci dan wajan dapur Panci anti lengket mudah dibersihkan,204000,162936,1,1,2,3258.72,50.0,1,1
29382700966,[OFFICIAL] freemir Deep Fryer Stainless Steel Set Bertutup kaca Handle Kayu Foodgrade Goreng Rebus,194000,144931,1,1,3,5797.24,25.0,1,0
42718693819,NEW special freemirSet Api Wajan Bawah Komposit -24cm SUS304 Panci anti lengket mudah dibersihkan Panci dan wajan dapur,204000,138973,1,1,4,2779.46,50.0,1,1
25864861991,Special freemir Grill Pan Beige Series Panggangan Bulat 30cm Cocok untuk BBQ Anti Lengket Serbaguna,180900,134567,1,1,18,2691.34,50.0,1,1
41459421599,freemir Panci Kopi Susu Granit Food Grade Anti Lengket 2 Set Beige/Hitam,140000,99360,1,1,36,1987.2,50.0,1,0
44322252989,"Offical freemir Panci susu mini Kelas makanan baja tahan karat 304 Mudah dibersihkan wajan anti lengket Masak mie, kopi, dan susu Satu pot untuk berbagai kegunaan Panci dan wajan dapur",124000,94152,1,1,2,3766.08,25.0,1,1
26324218402,freemir Kado Lebaran Unik Toples Kaca Set 4 Pcs - Gift Box Mewah Edisi Spesial Ramadhan,124000,93600,1,1,70,3744,25.0,1,1
27703622943,[OFFICIAL MALL] freemir Panci Elektrik Ukuran 15cm Kapasitas 1.2L 450 W Serbaguna Cocok untuk Kost panci listrik,124000,87881,1,1,6,3515.24,25.0,1,1
20078260617,[OFFICIAL MALL] freemir Wajan Penggorengan 16 cm Anti Lengket Gagang Kayu Serbaguna,114000,80223,1,1,2,1604.46,50.0,1,0
29281031267,[OFFICIAL] freemir Hand Mixer Beruang GARANSI 100% KERUSAKAN,134000,77418,1,1,8,1548.36,50.0,1,1
27251641737,[OFFICIAL ] freemir  anti lengket wajan  wajan penggorengan anti lengket  wajan kecil Wajan 16 CM warna Hitam  Anti Lengket Serbaguna,84900,73508,1,1,13,1470.16,50.0,1,0
12854147927,[OFFICIAL] freemir 5 Pcs Set Pisau Dapur Beige Anti Lengket Tajam Isi Talenan Pisau Buah Pisau Dapur,84900,63216,1,1,13,2528.64,25.0,1,0
16558153568,[OFFICIAL] freemir Piring 14 cm set 4 Pcs Wheat Straw Serving Plate/Set Piring Ukuran Sedang/Hampers/Set Kado Unik,54900,39022,1,1,14,780.44,50.0,1,0
49402841595,freemir Kotak Bento Kotak Penyimpan Makanan Mangkuk Penyimpan Makanan Mangkuk Salad,44000,29000,1,1,83,1160,25.0,1,0
42926312112,freemir Wheat Straw Coffee Cup,29000,22604,1,1,1,904.16,25.0,1,0
4696645173,freemir HANYA UNTUK HADIAH [TIDAK BOLEH DIBELI],39000,0,67,67,10,0,--,67,19
